name	ra	dec	micron_flux_12	micron_flux_25	micron_flux_60	micron_flux_100	psc_id	extend_flag	var_flag	obj_id_flag	micron_flux_12_flag	micron_flux_25_flag	micron_flux_60_flag	micron_flux_100_flag	opt_mag	helio_velocity	helio_velocity_error	source	t_type	class
	16.93292	-73.46111	0.469894111156464	2.96483135223389	18.7931652069092	21.9280529022217	4	0	3	M	3	3	3	2						GALAXY HII REGION
	18.57208	-73.46056	0.3475361764431	0.435511887073517	3.5237090587616	11.3501100540161	0	0	N	M	1	3	3	3						GALAXY HII REGION
	18.57542	-73.43444	0.239883288741112	0.559757649898529	6.60693550109863	26.6685943603516	0	0	N	M	1	3	2	1						GALAXY HII REGION
A0016-7325	4.00958	-73.43083	0.250034540891647	0.250034540891647	1.31522464752197	2.22843551635742	3	0	N	B	1	1	3	3		6326	300	53	1	GALAXY
0711-7325	107.935	-73.42583	0.250034540891647	0.334965407848358	2.24905467033386	3.90840911865234	3	2	N	Z	1	3	3	3	14.4899997711182	3110	80	1225		GALAXY
	20.72	-73.41222	1.6749427318573	19.408863067627	51.5228500366211	49.3173904418945	0	0	2	M	3	3	3	2						GALAXY HII REGION
2141-7309	325.32625	-73.16278	0.250034540891647	0.466659426689148	4.67735099792481	9.0991325378418	0	0	N	O	1	3	3	3		12588	39	-5		GALAXY
N 292	12.75	-73.1	66.9884567260742	269.77392578125	6683.43603515625	14996.8525390625	0	8	N	L					3.09999990463257	158	4	801	9B7P	GALAXY
1710-7306	257.6125	-73.09083	0.297851622104645	0.341192901134491	1.98152720928192	2.95801210403442	3	0	N	Z	1	3	3	3	15.6000003814697	5153	43	1217	20	GALAXY
A0951-7304	147.91458	-73.07056	0.250034540891647	0.3475361764431	1.3182567358017	1.67880415916443	0	0	N	B	1	3	3	3		20596	300	53		GALAXY
I2596	158.24833	-72.98028	0.250034540891647	0.549540877342224	3.2734067440033	5.72796058654785	3	0	N	Z	1	3	3	3		3390	0	1210	0	GALAXY
	262.78833	-72.95639	0.100000001490116	0.105681747198105	1.12460494041443	2.04173755645752	3	4	N	O	1	1	3	3		9019	49			GALAXY
I5071	314.05875	-72.83778	0.239883288741112	0.129717916250229	0.818464756011963	2.84446096420288	3	4	N	Z	1	1	2	3	12.5	3129	27			GALAXY
